iter	Passed	Remaining
0	147	147269
1	149	74562
2	151	50292
3	153	38161
4	155	30883
5	156	25989
6	158	22521
7	160	19884
8	162	17872
9	163	16202
10	165	14875
11	167	13768
12	168	12822
13	170	12020
14	172	11328
15	174	10708
16	175	10165
17	177	9692
18	179	9258
19	181	8882
20	183	8554
21	185	8236
22	187	7951
23	189	7704
24	191	7462
25	193	7234
26	194	7022
27	196	6826
28	198	6659
29	200	6487
30	203	6347
31	205	6205
32	207	6079
33	209	5949
34	211	5832
35	213	5722
36	215	5617
37	218	5531
38	220	5436
39	222	5337
40	224	5248
41	226	5175
42	229	5100
43	232	5040
44	234	4967
45	236	4900
46	238	4834
47	240	4764
48	242	4705
49	245	4656
50	247	4597
51	248	4535
52	250	4481
53	252	4427
54	254	4379
55	256	4331
56	259	4288
57	261	4248
58	263	4204
59	266	4167
60	267	4123
61	269	4081
62	272	4046
63	274	4012
64	276	3975
65	278	3940
66	280	3902
67	281	3853
68	282	3815
69	285	3790
70	288	3779
71	291	3757
72	294	3733
73	296	3706
74	298	3681
75	300	3653
76	302	3629
77	304	3602
78	307	3583
79	310	3565
80	312	3547
81	314	3526
82	317	3509
83	319	3487
84	321	3456
85	322	3430
86	324	3400
87	326	3381
88	328	3363
89	330	3346
90	332	3324
91	335	3309
92	337	3287
93	339	3270
94	341	3253
95	343	3236
96	346	3222
97	348	3206
98	350	3192
99	353	3177
100	355	3165
101	356	3142
102	359	3127
103	360	3109
104	362	3092
105	364	3076
106	367	3063
107	369	3053
108	372	3044
109	374	3031
110	376	3015
111	378	3000
112	380	2989
113	382	2975
114	384	2961
115	386	2945
116	388	2933
117	391	2922
118	392	2905
119	394	2894
120	396	2882
121	399	2872
122	400	2852
123	402	2841
124	404	2829
125	406	2817
126	408	2805
127	409	2789
128	411	2779
129	413	2766
130	415	2754
131	417	2746
132	419	2736
133	422	2728
134	423	2715
135	425	2705
136	428	2699
137	429	2685
138	431	2675
139	433	2664
140	436	2656
141	438	2647
142	440	2637
143	442	2629
144	444	2623
145	447	2614
146	449	2607
147	450	2596
148	453	2588
149	455	2581
150	457	2572
151	459	2563
152	461	2556
153	464	2549
154	466	2541
155	468	2534
156	470	2523
157	472	2518
158	475	2512
159	477	2505
160	479	2498
161	481	2492
162	483	2483
163	485	2474
164	487	2467
165	489	2461
166	491	2453
167	493	2445
168	495	2435
169	497	2429
170	499	2422
171	501	2415
172	503	2408
173	505	2400
174	507	2394
175	509	2387
176	511	2379
177	513	2373
178	516	2367
179	518	2360
180	519	2348
181	520	2341
182	523	2335
183	525	2329
184	527	2324
185	529	2319
186	531	2312
187	534	2306
188	536	2300
189	538	2294
190	540	2288
191	542	2281
192	544	2275
193	546	2268
194	548	2262
195	549	2255
196	551	2248
197	554	2244
198	556	2239
199	558	2234
200	560	2229
201	562	2223
202	565	2218
203	567	2212
204	569	2206
205	571	2201
206	573	2196
207	575	2192
208	577	2186
209	579	2181
210	582	2179
211	584	2173
212	586	2167
213	588	2161
214	591	2158
215	593	2155
216	596	2150
217	598	2145
218	600	2140
219	602	2135
220	604	2130
221	606	2125
222	608	2121
223	610	2115
224	612	2110
225	614	2106
226	617	2103
227	620	2100
228	622	2095
229	625	2093
230	627	2088
231	629	2084
232	632	2081
233	634	2077
234	636	2071
235	638	2068
236	641	2063
237	643	2059
238	645	2054
239	647	2050
240	649	2044
241	650	2038
242	652	2033
243	654	2029
244	657	2025
245	659	2021
246	662	2018
247	664	2014
248	666	2010
249	669	2007
250	671	2003
251	673	1999
252	676	1996
253	677	1990
254	679	1986
255	682	1983
256	684	1979
257	686	1975
258	688	1970
259	690	1966
260	692	1960
261	694	1956
262	696	1952
263	698	1947
264	700	1942
265	702	1938
266	704	1934
267	706	1930
268	708	1926
269	710	1922
270	713	1918
271	714	1913
272	716	1908
273	719	1905
274	721	1901
275	723	1898
276	725	1893
277	727	1889
278	729	1885
279	731	1882
280	734	1878
281	736	1874
282	738	1870
283	740	1866
284	742	1862
285	744	1858
286	746	1855
287	749	1851
288	751	1848
289	753	1845
290	755	1841
291	757	1837
292	759	1833
293	761	1829
294	764	1826
295	766	1823
296	768	1820
297	771	1817
298	773	1813
299	775	1809
300	777	1805
301	779	1801
302	781	1797
303	783	1793
304	785	1790
305	787	1786
306	789	1781
307	791	1777
308	793	1774
309	796	1772
310	798	1768
311	800	1764
312	802	1761
313	804	1757
314	806	1753
315	808	1750
316	810	1747
317	813	1743
318	815	1740
319	817	1737
320	819	1733
321	821	1730
322	824	1727
323	825	1723
324	828	1719
325	830	1716
326	832	1714
327	835	1711
328	837	1708
329	839	1704
330	841	1700
331	843	1697
332	845	1693
333	847	1690
334	850	1688
335	853	1686
336	856	1684
337	858	1681
338	860	1678
339	863	1676
340	866	1675
341	869	1673
342	871	1670
343	874	1667
344	876	1664
345	879	1661
346	881	1658
347	883	1655
348	886	1653
349	889	1652
350	892	1649
351	895	1647
352	897	1645
353	900	1642
354	902	1639
355	904	1635
356	906	1632
357	908	1628
358	910	1626
359	912	1622
360	915	1619
361	917	1616
362	919	1612
363	921	1609
364	923	1607
365	925	1603
366	927	1600
367	929	1597
368	932	1593
369	934	1591
370	936	1588
371	938	1584
372	940	1581
373	943	1578
374	945	1575
375	947	1571
376	949	1569
377	952	1566
378	954	1563
379	956	1560
380	958	1557
381	961	1555
382	963	1552
383	965	1549
384	968	1546
385	970	1543
386	972	1541
387	975	1538
388	977	1534
389	979	1531
390	981	1528
391	983	1525
392	985	1522
393	987	1518
394	989	1515
395	991	1512
396	994	1509
397	996	1507
398	998	1504
399	1000	1501
400	1002	1497
401	1004	1494
402	1007	1492
403	1009	1489
404	1012	1487
405	1014	1484
406	1016	1481
407	1018	1478
408	1021	1475
409	1023	1472
410	1025	1469
411	1027	1465
412	1029	1462
413	1031	1459
414	1033	1457
415	1036	1454
416	1038	1451
417	1040	1448
418	1042	1445
419	1044	1442
420	1046	1439
421	1049	1437
422	1052	1435
423	1053	1431
424	1056	1428
425	1058	1426
426	1060	1423
427	1062	1420
428	1064	1416
429	1066	1414
430	1069	1411
431	1071	1408
432	1073	1405
433	1075	1402
434	1077	1400
435	1080	1397
436	1082	1393
437	1083	1390
438	1086	1387
439	1088	1385
440	1091	1383
441	1093	1380
442	1096	1378
443	1099	1376
444	1101	1373
445	1103	1370
446	1105	1368
447	1109	1366
448	1111	1364
449	1114	1362
450	1117	1359
451	1119	1357
452	1122	1355
453	1125	1353
454	1127	1350
455	1129	1347
456	1132	1345
457	1134	1342
458	1136	1339
459	1138	1337
460	1141	1334
461	1144	1332
462	1146	1329
463	1148	1327
464	1151	1324
465	1154	1322
466	1156	1320
467	1158	1317
468	1161	1314
469	1163	1312
470	1165	1309
471	1168	1306
472	1170	1304
473	1173	1302
474	1175	1299
475	1178	1297
476	1180	1294
477	1182	1291
478	1184	1288
479	1187	1286
480	1189	1283
481	1191	1280
482	1193	1277
483	1196	1275
484	1199	1273
485	1201	1270
486	1203	1267
487	1205	1264
488	1207	1262
489	1210	1259
490	1212	1256
491	1214	1254
492	1217	1251
493	1219	1249
494	1221	1246
495	1223	1243
496	1225	1240
497	1228	1238
498	1231	1236
499	1233	1233
500	1235	1230
501	1238	1228
502	1240	1225
503	1242	1223
504	1245	1220
505	1248	1218
506	1250	1215
507	1252	1213
508	1254	1210
509	1257	1208
510	1260	1205
511	1262	1203
512	1264	1200
513	1266	1197
514	1268	1194
515	1270	1192
516	1273	1189
517	1275	1187
518	1278	1184
519	1280	1182
520	1282	1179
521	1284	1176
522	1286	1173
523	1289	1171
524	1291	1168
525	1293	1165
526	1296	1163
527	1298	1160
528	1300	1158
529	1303	1155
530	1305	1153
