iter	Passed	Remaining
0	137	137750
1	140	70348
2	142	47482
3	144	35967
4	146	29107
5	147	24500
6	149	21272
7	152	18886
8	154	16987
9	155	15433
10	157	14163
11	160	13203
12	162	12344
13	164	11574
14	166	10924
15	168	10363
16	170	9849
17	171	9375
18	174	9032
19	176	8654
20	178	8318
21	180	8002
22	181	7721
23	183	7457
24	185	7220
25	186	6995
26	189	6819
27	191	6636
28	192	6456
29	194	6288
30	196	6129
31	197	5985
32	199	5845
33	201	5714
34	203	5613
35	205	5499
36	207	5392
37	208	5285
38	210	5189
39	212	5096
40	213	5004
41	215	4917
42	217	4843
43	219	4766
44	221	4701
45	223	4629
46	224	4559
47	226	4498
48	228	4437
49	230	4378
50	233	4346
51	235	4299
52	237	4243
53	239	4192
54	241	4142
55	242	4094
56	244	4049
57	246	4003
58	249	3981
59	251	3942
60	253	3902
61	255	3862
62	258	3838
63	260	3802
64	262	3769
65	264	3736
66	265	3702
67	267	3668
68	269	3634
69	270	3600
70	272	3570
71	274	3538
72	276	3507
73	278	3483
74	280	3459
75	282	3431
76	284	3405
77	285	3380
78	287	3354
79	289	3328
80	291	3302
81	293	3281
82	294	3250
83	296	3228
84	297	3206
85	299	3185
86	301	3164
87	303	3143
88	305	3123
89	307	3105
90	309	3093
91	311	3076
92	313	3059
93	315	3040
94	317	3022
95	318	3003
96	320	2984
97	322	2968
98	324	2955
99	326	2939
100	328	2923
101	330	2906
102	332	2891
103	333	2875
104	335	2860
105	337	2844
106	339	2832
107	341	2819
108	343	2805
109	344	2789
110	346	2775
111	348	2762
112	350	2749
113	352	2736
114	354	2724
115	356	2713
116	357	2698
117	359	2685
118	361	2673
119	363	2663
120	365	2651
121	366	2636
122	368	2627
123	370	2619
124	372	2608
125	374	2596
126	375	2583
127	377	2573
128	379	2562
129	381	2552
130	383	2541
131	385	2535
132	387	2526
133	389	2516
134	391	2505
135	392	2495
136	394	2485
137	396	2476
138	398	2467
139	400	2459
140	402	2452
141	403	2438
142	405	2430
143	407	2421
144	409	2412
145	410	2403
146	412	2394
147	414	2386
148	416	2379
149	418	2371
150	420	2362
151	422	2354
152	423	2345
153	425	2337
154	427	2329
155	429	2321
156	431	2315
157	433	2309
158	435	2301
159	437	2294
160	438	2283
161	440	2276
162	442	2270
163	443	2263
164	446	2257
165	448	2251
166	450	2245
167	452	2239
168	454	2234
169	456	2228
170	458	2222
171	463	2231
172	465	2225
173	467	2219
174	469	2213
175	471	2208
176	473	2203
177	476	2200
178	478	2194
179	480	2187
180	483	2185
181	485	2183
182	488	2180
183	491	2178
184	493	2173
185	495	2167
186	497	2162
187	499	2157
188	501	2152
189	503	2146
190	506	2143
191	508	2138
192	510	2133
193	512	2129
194	514	2125
195	516	2120
196	519	2115
197	521	2112
198	523	2106
199	525	2102
200	527	2097
201	529	2093
202	531	2087
203	533	2082
204	536	2079
205	538	2075
206	540	2070
207	542	2066
208	544	2061
209	546	2056
210	548	2052
211	551	2048
212	553	2045
213	555	2041
214	558	2038
215	560	2033
216	562	2029
217	564	2025
218	567	2022
219	569	2018
220	571	2014
221	574	2011
222	576	2008
223	578	2005
224	581	2002
225	583	2000
226	586	1996
227	588	1992
228	590	1987
229	592	1983
230	594	1978
231	596	1974
232	599	1971
233	601	1967
234	603	1963
235	605	1959
236	607	1955
237	609	1950
238	611	1946
239	613	1942
240	615	1938
241	617	1934
242	619	1930
243	621	1925
244	623	1920
245	625	1915
246	627	1911
247	629	1907
248	631	1903
249	632	1898
250	634	1893
251	636	1889
252	638	1885
253	640	1881
254	642	1878
255	644	1874
256	646	1870
257	648	1866
258	651	1862
259	653	1858
260	655	1855
261	657	1851
262	659	1847
263	661	1844
264	663	1840
265	665	1836
266	667	1832
267	669	1829
268	672	1827
269	674	1823
270	676	1819
271	678	1816
272	680	1812
273	682	1809
274	684	1805
275	686	1801
276	689	1798
277	691	1795
278	693	1791
279	695	1787
280	697	1784
281	699	1779
282	700	1775
283	702	1771
284	704	1768
285	707	1765
286	708	1761
287	711	1757
288	712	1754
289	714	1750
290	717	1747
291	719	1744
292	721	1741
293	723	1737
294	725	1734
295	727	1730
296	729	1726
297	731	1723
298	733	1720
299	736	1718
300	738	1714
301	740	1711
302	742	1708
303	744	1705
304	746	1701
305	748	1698
306	750	1694
307	752	1691
308	754	1688
309	756	1684
310	759	1681
311	760	1677
312	762	1673
313	764	1670
314	766	1667
315	769	1665
316	770	1660
317	773	1658
318	775	1654
319	777	1651
320	779	1648
321	781	1645
322	783	1642
323	786	1640
324	788	1638
325	790	1634
326	792	1630
327	794	1627
328	796	1624
329	798	1621
330	801	1619
331	802	1615
332	804	1611
333	806	1608
334	808	1605
335	811	1603
336	813	1601
337	815	1597
338	817	1594
339	820	1592
340	821	1588
341	823	1585
342	826	1582
343	828	1579
344	830	1576
